County,State,Temp,YearRange
Trimble County,Kentucky,54.1,Lyme Cases 1992-1996
Union County,Kentucky,56.4,Lyme Cases 1992-1996
Warren County,Kentucky,57.1,Lyme Cases 1992-1996
Washington County,Kentucky,55.0,Lyme Cases 1992-1996
Wayne County,Kentucky,55.2,Lyme Cases 1992-1996
Webster County,Kentucky,56.6,Lyme Cases 1992-1996
Whitley County,Kentucky,55.2,Lyme Cases 1992-1996
Wolfe County,Kentucky,54.8,Lyme Cases 1992-1996
Woodford County,Kentucky,54.6,Lyme Cases 1992-1996
Acadia Parish,Louisiana,67.8,Lyme Cases 1992-1996
Allen Parish,Louisiana,66.9,Lyme Cases 1992-1996
Ascension Parish,Louisiana,67.5,Lyme Cases 1992-1996
Assumption Parish,Louisiana,68.0,Lyme Cases 1992-1996
Avoyelles Parish,Louisiana,66.4,Lyme Cases 1992-1996
Beauregard Parish,Louisiana,66.5,Lyme Cases 1992-1996
Bienville Parish,Louisiana,63.8,Lyme Cases 1992-1996
Bossier Parish,Louisiana,64.0,Lyme Cases 1992-1996
Caddo Parish,Louisiana,64.5,Lyme Cases 1992-1996
Calcasieu Parish,Louisiana,67.5,Lyme Cases 1992-1996
Caldwell Parish,Louisiana,64.7,Lyme Cases 1992-1996
Cameron Parish,Louisiana,68.1,Lyme Cases 1992-1996
Catahoula Parish,Louisiana,65.5,Lyme Cases 1992-1996
Claiborne Parish,Louisiana,63.1,Lyme Cases 1992-1996
Concordia Parish,Louisiana,65.8,Lyme Cases 1992-1996
De Soto Parish,Louisiana,64.5,Lyme Cases 1992-1996
East Baton Rouge Parish,Louisiana,66.9,Lyme Cases 1992-1996
East Carroll Parish,Louisiana,64.3,Lyme Cases 1992-1996
East Feliciana Parish,Louisiana,66.0,Lyme Cases 1992-1996
Evangeline Parish,Louisiana,67.0,Lyme Cases 1992-1996
Franklin Parish,Louisiana,64.9,Lyme Cases 1992-1996
Grant Parish,Louisiana,65.4,Lyme Cases 1992-1996
Iberia Parish,Louisiana,68.0,Lyme Cases 1992-1996
Iberville Parish,Louisiana,67.5,Lyme Cases 1992-1996
Jackson Parish,Louisiana,63.9,Lyme Cases 1992-1996
Jefferson Parish,Louisiana,68.7,Lyme Cases 1992-1996
Jefferson Davis Parish,Louisiana,67.7,Lyme Cases 1992-1996
Lafayette Parish,Louisiana,67.8,Lyme Cases 1992-1996
Lafourche Parish,Louisiana,68.8,Lyme Cases 1992-1996
La Salle Parish,Louisiana,65.3,Lyme Cases 1992-1996
Lincoln Parish,Louisiana,63.5,Lyme Cases 1992-1996
Livingston Parish,Louisiana,66.9,Lyme Cases 1992-1996
Madison Parish,Louisiana,64.6,Lyme Cases 1992-1996
Morehouse Parish,Louisiana,63.9,Lyme Cases 1992-1996
Natchitoches Parish,Louisiana,65.1,Lyme Cases 1992-1996
Orleans Parish,Louisiana,68.0,Lyme Cases 1992-1996
Ouachita Parish,Louisiana,64.3,Lyme Cases 1992-1996
Plaquemines Parish,Louisiana,68.9,Lyme Cases 1992-1996
Pointe Coupee Parish,Louisiana,66.9,Lyme Cases 1992-1996
Rapides Parish,Louisiana,66.1,Lyme Cases 1992-1996
Red River Parish,Louisiana,64.5,Lyme Cases 1992-1996
Richland Parish,Louisiana,64.6,Lyme Cases 1992-1996
Sabine Parish,Louisiana,64.9,Lyme Cases 1992-1996
St. Bernard Parish,Louisiana,68.1,Lyme Cases 1992-1996
St. Charles Parish,Louisiana,68.5,Lyme Cases 1992-1996
St. Helena Parish,Louisiana,65.7,Lyme Cases 1992-1996
St. James Parish,Louisiana,67.9,Lyme Cases 1992-1996
St. John the Baptist Parish,Louisiana,67.9,Lyme Cases 1992-1996
St. Landry Parish,Louisiana,67.1,Lyme Cases 1992-1996
St. Martin Parish,Louisiana,67.8,Lyme Cases 1992-1996
St. Mary Parish,Louisiana,68.2,Lyme Cases 1992-1996
St. Tammany Parish,Louisiana,66.7,Lyme Cases 1992-1996
Tangipahoa Parish,Louisiana,66.2,Lyme Cases 1992-1996
Tensas Parish,Louisiana,65.0,Lyme Cases 1992-1996
Terrebonne Parish,Louisiana,68.8,Lyme Cases 1992-1996
Union Parish,Louisiana,63.6,Lyme Cases 1992-1996
Vermilion Parish,Louisiana,68.1,Lyme Cases 1992-1996
Vernon Parish,Louisiana,65.6,Lyme Cases 1992-1996
Washington Parish,Louisiana,65.7,Lyme Cases 1992-1996
Webster Parish,Louisiana,63.5,Lyme Cases 1992-1996
West Baton Rouge Parish,Louisiana,67.2,Lyme Cases 1992-1996
West Carroll Parish,Louisiana,64.2,Lyme Cases 1992-1996
West Feliciana Parish,Louisiana,66.4,Lyme Cases 1992-1996
Winn Parish,Louisiana,64.6,Lyme Cases 1992-1996
Androscoggin County,Maine,43.8,Lyme Cases 1992-1996
Aroostook County,Maine,37.9,Lyme Cases 1992-1996
Cumberland County,Maine,44.5,Lyme Cases 1992-1996
Franklin County,Maine,38.8,Lyme Cases 1992-1996
Hancock County,Maine,43.4,Lyme Cases 1992-1996
Kennebec County,Maine,43.6,Lyme Cases 1992-1996
Knox County,Maine,44.1,Lyme Cases 1992-1996
Lincoln County,Maine,44.3,Lyme Cases 1992-1996
Oxford County,Maine,41.0,Lyme Cases 1992-1996
Penobscot County,Maine,41.4,Lyme Cases 1992-1996
Piscataquis County,Maine,38.6,Lyme Cases 1992-1996
Sagadahoc County,Maine,44.6,Lyme Cases 1992-1996
Somerset County,Maine,38.9,Lyme Cases 1992-1996
Waldo County,Maine,43.3,Lyme Cases 1992-1996
Washington County,Maine,42.6,Lyme Cases 1992-1996
York County,Maine,45.3,Lyme Cases 1992-1996
Allegany County,Maryland,51.5,Lyme Cases 1992-1996
Anne Arundel County,Maryland,55.9,Lyme Cases 1992-1996
Baltimore County,Maryland,53.7,Lyme Cases 1992-1996
Calvert County,Maryland,55.9,Lyme Cases 1992-1996
Caroline County,Maryland,55.2,Lyme Cases 1992-1996
Carroll County,Maryland,52.2,Lyme Cases 1992-1996
Cecil County,Maryland,54.1,Lyme Cases 1992-1996
Charles County,Maryland,56.1,Lyme Cases 1992-1996
Dorchester County,Maryland,56.2,Lyme Cases 1992-1996
Frederick County,Maryland,52.9,Lyme Cases 1992-1996
Garrett County,Maryland,47.4,Lyme Cases 1992-1996
Harford County,Maryland,54.0,Lyme Cases 1992-1996
Howard County,Maryland,53.6,Lyme Cases 1992-1996
Kent County,Maryland,55.3,Lyme Cases 1992-1996
Montgomery County,Maryland,54.0,Lyme Cases 1992-1996
Prince George&,,,Lyme Cases 1992-1996
Queen Anne&,,,Lyme Cases 1992-1996
St. Mary&,,,Lyme Cases 1992-1996
Somerset County,Maryland,56.7,Lyme Cases 1992-1996
Talbot County,Maryland,56.0,Lyme Cases 1992-1996
Washington County,Maryland,52.5,Lyme Cases 1992-1996
Wicomico County,Maryland,56.0,Lyme Cases 1992-1996
Worcester County,Maryland,56.3,Lyme Cases 1992-1996
Baltimore City,Maryland,55.7,Lyme Cases 1992-1996
Washington,District of Columbia,55.7,Lyme Cases 1992-1996
Barnstable County,Massachusetts,49.8,Lyme Cases 1992-1996
Berkshire County,Massachusetts,44.5,Lyme Cases 1992-1996
Bristol County,Massachusetts,49.8,Lyme Cases 1992-1996
Dukes County,Massachusetts,50.5,Lyme Cases 1992-1996
Essex County,Massachusetts,48.1,Lyme Cases 1992-1996
Franklin County,Massachusetts,45.8,Lyme Cases 1992-1996
Hampden County,Massachusetts,47.4,Lyme Cases 1992-1996
Hampshire County,Massachusetts,46.8,Lyme Cases 1992-1996
Middlesex County,Massachusetts,48.2,Lyme Cases 1992-1996
Nantucket County,Massachusetts,49.7,Lyme Cases 1992-1996
Norfolk County,Massachusetts,49.0,Lyme Cases 1992-1996
Plymouth County,Massachusetts,49.7,Lyme Cases 1992-1996
Suffolk County,Massachusetts,49.4,Lyme Cases 1992-1996
Worcester County,Massachusetts,46.8,Lyme Cases 1992-1996
Alcona County,Michigan,42.7,Lyme Cases 1992-1996
Alger County,Michigan,40.5,Lyme Cases 1992-1996
Allegan County,Michigan,47.8,Lyme Cases 1992-1996
Alpena County,Michigan,42.6,Lyme Cases 1992-1996
Antrim County,Michigan,43.1,Lyme Cases 1992-1996
Arenac County,Michigan,44.7,Lyme Cases 1992-1996
Baraga County,Michigan,38.8,Lyme Cases 1992-1996
Barry County,Michigan,47.0,Lyme Cases 1992-1996
Bay County,Michigan,45.9,Lyme Cases 1992-1996
Benzie County,Michigan,43.6,Lyme Cases 1992-1996
Berrien County,Michigan,48.8,Lyme Cases 1992-1996
Branch County,Michigan,47.7,Lyme Cases 1992-1996
Calhoun County,Michigan,47.2,Lyme Cases 1992-1996
Cass County,Michigan,48.1,Lyme Cases 1992-1996
Charlevoix County,Michigan,43.1,Lyme Cases 1992-1996
Cheboygan County,Michigan,42.2,Lyme Cases 1992-1996
Chippewa County,Michigan,39.9,Lyme Cases 1992-1996
Clare County,Michigan,43.7,Lyme Cases 1992-1996
Clinton County,Michigan,46.7,Lyme Cases 1992-1996
Crawford County,Michigan,42.2,Lyme Cases 1992-1996
Delta County,Michigan,41.4,Lyme Cases 1992-1996
Dickinson County,Michigan,39.9,Lyme Cases 1992-1996
Eaton County,Michigan,46.8,Lyme Cases 1992-1996
Emmet County,Michigan,42.2,Lyme Cases 1992-1996
Genesee County,Michigan,46.5,Lyme Cases 1992-1996
Gladwin County,Michigan,44.6,Lyme Cases 1992-1996
Gogebic County,Michigan,38.8,Lyme Cases 1992-1996
Grand Traverse County,Michigan,43.5,Lyme Cases 1992-1996
Gratiot County,Michigan,46.2,Lyme Cases 1992-1996
Hillsdale County,Michigan,47.2,Lyme Cases 1992-1996
Houghton County,Michigan,39.7,Lyme Cases 1992-1996
Huron County,Michigan,44.8,Lyme Cases 1992-1996
Ingham County,Michigan,46.7,Lyme Cases 1992-1996
Ionia County,Michigan,46.4,Lyme Cases 1992-1996
Iosco County,Michigan,43.7,Lyme Cases 1992-1996
Iron County,Michigan,38.4,Lyme Cases 1992-1996
Isabella County,Michigan,45.0,Lyme Cases 1992-1996
Jackson County,Michigan,46.9,Lyme Cases 1992-1996
Kalamazoo County,Michigan,47.6,Lyme Cases 1992-1996
Kalkaska County,Michigan,42.8,Lyme Cases 1992-1996
Kent County,Michigan,46.5,Lyme Cases 1992-1996
Keweenaw County,Michigan,39.1,Lyme Cases 1992-1996
Lake County,Michigan,44.1,Lyme Cases 1992-1996
Lapeer County,Michigan,46.2,Lyme Cases 1992-1996
Leelanau County,Michigan,43.6,Lyme Cases 1992-1996
Lenawee County,Michigan,48.1,Lyme Cases 1992-1996
Livingston County,Michigan,46.4,Lyme Cases 1992-1996
Luce County,Michigan,39.7,Lyme Cases 1992-1996
Mackinac County,Michigan,40.7,Lyme Cases 1992-1996
Macomb County,Michigan,47.7,Lyme Cases 1992-1996
Manistee County,Michigan,44.1,Lyme Cases 1992-1996
Marquette County,Michigan,39.5,Lyme Cases 1992-1996
Mason County,Michigan,44.6,Lyme Cases 1992-1996
Mecosta County,Michigan,44.2,Lyme Cases 1992-1996
Menominee County,Michigan,41.7,Lyme Cases 1992-1996
Midland County,Michigan,45.9,Lyme Cases 1992-1996
Missaukee County,Michigan,42.8,Lyme Cases 1992-1996
Monroe County,Michigan,49.0,Lyme Cases 1992-1996
Montcalm County,Michigan,45.1,Lyme Cases 1992-1996
Montmorency County,Michigan,42.2,Lyme Cases 1992-1996
Muskegon County,Michigan,46.4,Lyme Cases 1992-1996
Newaygo County,Michigan,44.9,Lyme Cases 1992-1996
Oakland County,Michigan,46.7,Lyme Cases 1992-1996
Oceana County,Michigan,45.0,Lyme Cases 1992-1996
Ogemaw County,Michigan,43.1,Lyme Cases 1992-1996
Ontonagon County,Michigan,39.6,Lyme Cases 1992-1996
Osceola County,Michigan,43.2,Lyme Cases 1992-1996
Oscoda County,Michigan,42.2,Lyme Cases 1992-1996
Otsego County,Michigan,41.7,Lyme Cases 1992-1996
Ottawa County,Michigan,47.3,Lyme Cases 1992-1996
Presque Isle County,Michigan,42.4,Lyme Cases 1992-1996
Roscommon County,Michigan,42.9,Lyme Cases 1992-1996
Saginaw County,Michigan,46.5,Lyme Cases 1992-1996
St. Clair County,Michigan,47.2,Lyme Cases 1992-1996
St. Joseph County,Michigan,48.2,Lyme Cases 1992-1996
Sanilac County,Michigan,45.7,Lyme Cases 1992-1996
Schoolcraft County,Michigan,41.0,Lyme Cases 1992-1996
Shiawassee County,Michigan,46.5,Lyme Cases 1992-1996
Tuscola County,Michigan,46.0,Lyme Cases 1992-1996
Van Buren County,Michigan,48.1,Lyme Cases 1992-1996
Washtenaw County,Michigan,47.1,Lyme Cases 1992-1996
Wayne County,Michigan,48.4,Lyme Cases 1992-1996
Wexford County,Michigan,42.9,Lyme Cases 1992-1996
Aitkin County,Minnesota,39.0,Lyme Cases 1992-1996
Anoka County,Minnesota,43.2,Lyme Cases 1992-1996
Becker County,Minnesota,38.6,Lyme Cases 1992-1996
Beltrami County,Minnesota,37.5,Lyme Cases 1992-1996
Benton County,Minnesota,41.5,Lyme Cases 1992-1996
Big Stone County,Minnesota,42.2,Lyme Cases 1992-1996
Blue Earth County,Minnesota,44.1,Lyme Cases 1992-1996
Brown County,Minnesota,43.9,Lyme Cases 1992-1996
Carlton County,Minnesota,38.6,Lyme Cases 1992-1996
Carver County,Minnesota,43.5,Lyme Cases 1992-1996
Cass County,Minnesota,39.0,Lyme Cases 1992-1996
Chippewa County,Minnesota,42.7,Lyme Cases 1992-1996
Chisago County,Minnesota,42.5,Lyme Cases 1992-1996
Clay County,Minnesota,40.3,Lyme Cases 1992-1996
Clearwater County,Minnesota,37.8,Lyme Cases 1992-1996
Cook County,Minnesota,35.4,Lyme Cases 1992-1996
Cottonwood County,Minnesota,43.2,Lyme Cases 1992-1996
Crow Wing County,Minnesota,39.8,Lyme Cases 1992-1996
Dakota County,Minnesota,43.9,Lyme Cases 1992-1996
Dodge County,Minnesota,42.8,Lyme Cases 1992-1996
Douglas County,Minnesota,40.2,Lyme Cases 1992-1996
Faribault County,Minnesota,44.2,Lyme Cases 1992-1996
Fillmore County,Minnesota,43.4,Lyme Cases 1992-1996
Freeborn County,Minnesota,43.5,Lyme Cases 1992-1996
Goodhue County,Minnesota,43.5,Lyme Cases 1992-1996
Grant County,Minnesota,40.9,Lyme Cases 1992-1996
Hennepin County,Minnesota,43.6,Lyme Cases 1992-1996
Houston County,Minnesota,44.7,Lyme Cases 1992-1996
Hubbard County,Minnesota,38.4,Lyme Cases 1992-1996
Isanti County,Minnesota,42.2,Lyme Cases 1992-1996
Itasca County,Minnesota,37.9,Lyme Cases 1992-1996
Jackson County,Minnesota,43.4,Lyme Cases 1992-1996
Kanabec County,Minnesota,40.9,Lyme Cases 1992-1996
Kandiyohi County,Minnesota,42.2,Lyme Cases 1992-1996
Kittson County,Minnesota,37.3,Lyme Cases 1992-1996
Koochiching County,Minnesota,36.9,Lyme Cases 1992-1996
Lac qui Parle County,Minnesota,42.9,Lyme Cases 1992-1996
Lake County,Minnesota,36.2,Lyme Cases 1992-1996
Lake of the Woods County,Minnesota,36.9,Lyme Cases 1992-1996
Le Sueur County,Minnesota,43.7,Lyme Cases 1992-1996
Lincoln County,Minnesota,42.3,Lyme Cases 1992-1996
Lyon County,Minnesota,43.4,Lyme Cases 1992-1996
McLeod County,Minnesota,43.0,Lyme Cases 1992-1996
Mahnomen County,Minnesota,38.4,Lyme Cases 1992-1996
Marshall County,Minnesota,37.8,Lyme Cases 1992-1996
Martin County,Minnesota,44.1,Lyme Cases 1992-1996
Meeker County,Minnesota,42.4,Lyme Cases 1992-1996
Mille Lacs County,Minnesota,40.9,Lyme Cases 1992-1996
Morrison County,Minnesota,40.8,Lyme Cases 1992-1996
Mower County,Minnesota,42.9,Lyme Cases 1992-1996
Murray County,Minnesota,42.9,Lyme Cases 1992-1996
Nicollet County,Minnesota,43.8,Lyme Cases 1992-1996
Nobles County,Minnesota,43.4,Lyme Cases 1992-1996
Norman County,Minnesota,39.9,Lyme Cases 1992-1996
Olmsted County,Minnesota,43.2,Lyme Cases 1992-1996
Otter Tail County,Minnesota,39.6,Lyme Cases 1992-1996
Pennington County,Minnesota,38.1,Lyme Cases 1992-1996
Pine County,Minnesota,40.1,Lyme Cases 1992-1996
Pipestone County,Minnesota,42.6,Lyme Cases 1992-1996
Polk County,Minnesota,38.9,Lyme Cases 1992-1996
Pope County,Minnesota,41.1,Lyme Cases 1992-1996
Ramsey County,Minnesota,44.0,Lyme Cases 1992-1996
Red Lake County,Minnesota,38.4,Lyme Cases 1992-1996
Redwood County,Minnesota,43.7,Lyme Cases 1992-1996
Renville County,Minnesota,43.2,Lyme Cases 1992-1996
Rice County,Minnesota,43.4,Lyme Cases 1992-1996
Rock County,Minnesota,43.8,Lyme Cases 1992-1996
Roseau County,Minnesota,37.1,Lyme Cases 1992-1996
St. Louis County,Minnesota,37.1,Lyme Cases 1992-1996
Scott County,Minnesota,43.9,Lyme Cases 1992-1996
Sherburne County,Minnesota,42.3,Lyme Cases 1992-1996
Sibley County,Minnesota,43.5,Lyme Cases 1992-1996
Stearns County,Minnesota,41.5,Lyme Cases 1992-1996
Steele County,Minnesota,43.1,Lyme Cases 1992-1996
Stevens County,Minnesota,41.5,Lyme Cases 1992-1996
Swift County,Minnesota,42.2,Lyme Cases 1992-1996
Todd County,Minnesota,40.1,Lyme Cases 1992-1996
Traverse County,Minnesota,41.6,Lyme Cases 1992-1996
Wabasha County,Minnesota,43.8,Lyme Cases 1992-1996
Wadena County,Minnesota,39.4,Lyme Cases 1992-1996
Waseca County,Minnesota,43.7,Lyme Cases 1992-1996
Washington County,Minnesota,43.8,Lyme Cases 1992-1996
Watonwan County,Minnesota,44.0,Lyme Cases 1992-1996
Wilkin County,Minnesota,40.9,Lyme Cases 1992-1996
Winona County,Minnesota,44.0,Lyme Cases 1992-1996
Wright County,Minnesota,42.7,Lyme Cases 1992-1996
Yellow Medicine County,Minnesota,43.2,Lyme Cases 1992-1996
Adams County,Mississippi,65.3,Lyme Cases 1992-1996
Alcorn County,Mississippi,59.8,Lyme Cases 1992-1996
Amite County,Mississippi,65.1,Lyme Cases 1992-1996
Attala County,Mississippi,62.3,Lyme Cases 1992-1996
Benton County,Mississippi,60.0,Lyme Cases 1992-1996
Bolivar County,Mississippi,62.6,Lyme Cases 1992-1996
Calhoun County,Mississippi,61.5,Lyme Cases 1992-1996
Carroll County,Mississippi,62.4,Lyme Cases 1992-1996
Chickasaw County,Mississippi,61.6,Lyme Cases 1992-1996
Choctaw County,Mississippi,61.6,Lyme Cases 1992-1996
Claiborne County,Mississippi,64.8,Lyme Cases 1992-1996
Clarke County,Mississippi,63.7,Lyme Cases 1992-1996
Clay County,Mississippi,62.0,Lyme Cases 1992-1996
Coahoma County,Mississippi,62.0,Lyme Cases 1992-1996
Copiah County,Mississippi,64.5,Lyme Cases 1992-1996
Covington County,Mississippi,64.5,Lyme Cases 1992-1996
DeSoto County,Mississippi,61.3,Lyme Cases 1992-1996
Forrest County,Mississippi,65.2,Lyme Cases 1992-1996
Franklin County,Mississippi,64.8,Lyme Cases 1992-1996
George County,Mississippi,65.7,Lyme Cases 1992-1996
Greene County,Mississippi,65.2,Lyme Cases 1992-1996
Grenada County,Mississippi,62.1,Lyme Cases 1992-1996
Hancock County,Mississippi,66.4,Lyme Cases 1992-1996
Harrison County,Mississippi,66.2,Lyme Cases 1992-1996
Hinds County,Mississippi,64.3,Lyme Cases 1992-1996
Holmes County,Mississippi,63.1,Lyme Cases 1992-1996
Humphreys County,Mississippi,63.6,Lyme Cases 1992-1996
Issaquena County,Mississippi,64.2,Lyme Cases 1992-1996
Itawamba County,Mississippi,60.9,Lyme Cases 1992-1996
Jackson County,Mississippi,66.3,Lyme Cases 1992-1996
Jasper County,Mississippi,63.6,Lyme Cases 1992-1996
Jefferson County,Mississippi,64.8,Lyme Cases 1992-1996
Jefferson Davis County,Mississippi,64.6,Lyme Cases 1992-1996
Jones County,Mississippi,64.5,Lyme Cases 1992-1996
Kemper County,Mississippi,62.7,Lyme Cases 1992-1996
Lafayette County,Mississippi,60.9,Lyme Cases 1992-1996
Lamar County,Mississippi,65.1,Lyme Cases 1992-1996
Lauderdale County,Mississippi,63.1,Lyme Cases 1992-1996
Lawrence County,Mississippi,64.9,Lyme Cases 1992-1996
Leake County,Mississippi,62.6,Lyme Cases 1992-1996
Lee County,Mississippi,61.1,Lyme Cases 1992-1996
Leflore County,Mississippi,63.0,Lyme Cases 1992-1996
Lincoln County,Mississippi,64.6,Lyme Cases 1992-1996
Lowndes County,Mississippi,62.3,Lyme Cases 1992-1996
Madison County,Mississippi,63.5,Lyme Cases 1992-1996
Marion County,Mississippi,65.3,Lyme Cases 1992-1996
Marshall County,Mississippi,60.6,Lyme Cases 1992-1996
Monroe County,Mississippi,61.8,Lyme Cases 1992-1996
Montgomery County,Mississippi,61.9,Lyme Cases 1992-1996
Neshoba County,Mississippi,62.4,Lyme Cases 1992-1996
Newton County,Mississippi,62.9,Lyme Cases 1992-1996
Noxubee County,Mississippi,62.6,Lyme Cases 1992-1996
Oktibbeha County,Mississippi,62.0,Lyme Cases 1992-1996
Panola County,Mississippi,61.6,Lyme Cases 1992-1996
Pearl River County,Mississippi,65.8,Lyme Cases 1992-1996
Perry County,Mississippi,65.2,Lyme Cases 1992-1996
Pike County,Mississippi,65.1,Lyme Cases 1992-1996
Pontotoc County,Mississippi,61.0,Lyme Cases 1992-1996
Prentiss County,Mississippi,60.3,Lyme Cases 1992-1996
Quitman County,Mississippi,62.1,Lyme Cases 1992-1996
Rankin County,Mississippi,63.6,Lyme Cases 1992-1996
Scott County,Mississippi,62.9,Lyme Cases 1992-1996
Sharkey County,Mississippi,64.0,Lyme Cases 1992-1996
Simpson County,Mississippi,64.1,Lyme Cases 1992-1996
Smith County,Mississippi,63.7,Lyme Cases 1992-1996
Stone County,Mississippi,65.6,Lyme Cases 1992-1996
Sunflower County,Mississippi,63.0,Lyme Cases 1992-1996
Tallahatchie County,Mississippi,62.4,Lyme Cases 1992-1996
Tate County,Mississippi,61.4,Lyme Cases 1992-1996
Tippah County,Mississippi,59.9,Lyme Cases 1992-1996
Tishomingo County,Mississippi,59.8,Lyme Cases 1992-1996
Tunica County,Mississippi,61.8,Lyme Cases 1992-1996
Union County,Mississippi,60.6,Lyme Cases 1992-1996
Walthall County,Mississippi,65.2,Lyme Cases 1992-1996
Warren County,Mississippi,64.6,Lyme Cases 1992-1996
Washington County,Mississippi,63.5,Lyme Cases 1992-1996
Wayne County,Mississippi,64.4,Lyme Cases 1992-1996
Webster County,Mississippi,61.5,Lyme Cases 1992-1996
Wilkinson County,Mississippi,65.7,Lyme Cases 1992-1996
Winston County,Mississippi,62.1,Lyme Cases 1992-1996
Yalobusha County,Mississippi,61.6,Lyme Cases 1992-1996
Yazoo County,Mississippi,63.9,Lyme Cases 1992-1996
Adair County,Missouri,50.9,Lyme Cases 1992-1996
Andrew County,Missouri,52.0,Lyme Cases 1992-1996
Atchison County,Missouri,51.1,Lyme Cases 1992-1996
Audrain County,Missouri,52.8,Lyme Cases 1992-1996
Barry County,Missouri,55.9,Lyme Cases 1992-1996
Barton County,Missouri,56.5,Lyme Cases 1992-1996
Bates County,Missouri,55.2,Lyme Cases 1992-1996
Benton County,Missouri,54.7,Lyme Cases 1992-1996
Bollinger County,Missouri,56.0,Lyme Cases 1992-1996
Boone County,Missouri,53.7,Lyme Cases 1992-1996
Buchanan County,Missouri,52.9,Lyme Cases 1992-1996
Butler County,Missouri,57.7,Lyme Cases 1992-1996
Caldwell County,Missouri,52.4,Lyme Cases 1992-1996
Callaway County,Missouri,53.8,Lyme Cases 1992-1996
Camden County,Missouri,55.2,Lyme Cases 1992-1996
Cape Girardeau County,Missouri,56.4,Lyme Cases 1992-1996
Carroll County,Missouri,53.2,Lyme Cases 1992-1996
Carter County,Missouri,56.0,Lyme Cases 1992-1996
Cass County,Missouri,54.3,Lyme Cases 1992-1996
Cedar County,Missouri,55.9,Lyme Cases 1992-1996
Chariton County,Missouri,52.9,Lyme Cases 1992-1996
Christian County,Missouri,55.0,Lyme Cases 1992-1996
Clark County,Missouri,51.4,Lyme Cases 1992-1996
Clay County,Missouri,53.6,Lyme Cases 1992-1996
Clinton County,Missouri,52.5,Lyme Cases 1992-1996
Cole County,Missouri,54.9,Lyme Cases 1992-1996
Cooper County,Missouri,54.1,Lyme Cases 1992-1996
Crawford County,Missouri,54.0,Lyme Cases 1992-1996
Dade County,Missouri,55.8,Lyme Cases 1992-1996
Dallas County,Missouri,54.8,Lyme Cases 1992-1996
Daviess County,Missouri,51.9,Lyme Cases 1992-1996
DeKalb County,Missouri,51.8,Lyme Cases 1992-1996
Dent County,Missouri,54.2,Lyme Cases 1992-1996
Douglas County,Missouri,55.0,Lyme Cases 1992-1996
Dunklin County,Missouri,58.9,Lyme Cases 1992-1996
Franklin County,Missouri,54.3,Lyme Cases 1992-1996
Gasconade County,Missouri,54.1,Lyme Cases 1992-1996
Gentry County,Missouri,51.2,Lyme Cases 1992-1996
Greene County,Missouri,54.9,Lyme Cases 1992-1996
Grundy County,Missouri,51.6,Lyme Cases 1992-1996
Harrison County,Missouri,50.7,Lyme Cases 1992-1996
Henry County,Missouri,54.9,Lyme Cases 1992-1996
Hickory County,Missouri,55.1,Lyme Cases 1992-1996
Holt County,Missouri,52.0,Lyme Cases 1992-1996
Howard County,Missouri,53.6,Lyme Cases 1992-1996
Howell County,Missouri,55.4,Lyme Cases 1992-1996
Iron County,Missouri,54.0,Lyme Cases 1992-1996
Jackson County,Missouri,53.9,Lyme Cases 1992-1996
Jasper County,Missouri,56.6,Lyme Cases 1992-1996
Jefferson County,Missouri,55.0,Lyme Cases 1992-1996
Johnson County,Missouri,54.1,Lyme Cases 1992-1996
Knox County,Missouri,51.3,Lyme Cases 1992-1996
Laclede County,Missouri,54.8,Lyme Cases 1992-1996
Lafayette County,Missouri,53.7,Lyme Cases 1992-1996
Lawrence County,Missouri,55.6,Lyme Cases 1992-1996
Lewis County,Missouri,52.0,Lyme Cases 1992-1996
Lincoln County,Missouri,53.7,Lyme Cases 1992-1996
Linn County,Missouri,52.0,Lyme Cases 1992-1996
Livingston County,Missouri,52.5,Lyme Cases 1992-1996
McDonald County,Missouri,56.9,Lyme Cases 1992-1996
Macon County,Missouri,51.7,Lyme Cases 1992-1996
Madison County,Missouri,54.8,Lyme Cases 1992-1996
Maries County,Missouri,54.8,Lyme Cases 1992-1996
Marion County,Missouri,52.4,Lyme Cases 1992-1996
Mercer County,Missouri,50.5,Lyme Cases 1992-1996
Miller County,Missouri,55.2,Lyme Cases 1992-1996
Mississippi County,Missouri,57.7,Lyme Cases 1992-1996
Moniteau County,Missouri,54.4,Lyme Cases 1992-1996
Monroe County,Missouri,52.4,Lyme Cases 1992-1996
Montgomery County,Missouri,53.4,Lyme Cases 1992-1996
Morgan County,Missouri,54.4,Lyme Cases 1992-1996
New Madrid County,Missouri,58.2,Lyme Cases 1992-1996
Newton County,Missouri,56.5,Lyme Cases 1992-1996
Nodaway County,Missouri,50.9,Lyme Cases 1992-1996
Oregon County,Missouri,56.0,Lyme Cases 1992-1996
Osage County,Missouri,54.6,Lyme Cases 1992-1996
Ozark County,Missouri,56.0,Lyme Cases 1992-1996
Pemiscot County,Missouri,59.0,Lyme Cases 1992-1996
Perry County,Missouri,55.4,Lyme Cases 1992-1996
Pettis County,Missouri,54.1,Lyme Cases 1992-1996
Phelps County,Missouri,54.7,Lyme Cases 1992-1996
Pike County,Missouri,53.0,Lyme Cases 1992-1996
Platte County,Missouri,53.7,Lyme Cases 1992-1996
Polk County,Missouri,55.1,Lyme Cases 1992-1996
Pulaski County,Missouri,54.9,Lyme Cases 1992-1996
